Species,culture_notes,red,green,blue,colour.hex
Acaulospora_capsicula,NA,191.3551932,103.4975068,53.57845673,#BF6736
Acaulospora_colombiana,NA,203.2573375,130.2506483,44.78031528,#CB822D
Acaulospora_delicata,NA,186.886756,171.7548429,137.2440096,#BBAC89
Acaulospora_denticulata,NA,217.2524769,144.7943154,63.06410026,#D9913F
Acaulospora_dilatata,NA,199.6652863,197.1580618,155.187504,#C8C59B
Acaulospora_foveata,NA,156.452908,91.92543212,53.65118598,#9C5C36
Acaulospora_kentinensis,NA,124.1909612,121.7306797,95.77729681,#7C7A60
Acaulospora_koskei,NA,208.9295675,119.3903634,31.40319785,#D1771F
Acaulospora_lacunosa,NA,183.678551,113.7117653,44.27532993,#B8722C
Acaulospora_laevis,NA,222.2933996,116.4660669,20.70464015,#DE7415
Acaulospora_mellea,NA,211.0974471,155.1249603,83.79632937,#D39B54
Acaulospora_morrowiae,NA,182.5421329,171.6440675,138.5552579,#B7AC8B
Acaulospora_rehmii,NA,195.3765483,185.2284767,146.8299513,#C3B993
Acaulospora_rugosa,NA,206.2006865,205.9676349,173.1999246,#CECEAD
Acaulospora_scrobiculata,NA,195.0997751,175.2948082,134.0803638,#C3AF86
Acaulospora_spinosa,NA,156.4807989,128.4025811,85.35985394,#9C8055
Acaulospora_tuberculata,NA,170.6734979,100.9748774,54.51968721,#AB6537
Ambispora_gerdemannii,NA,222.8559051,203.2275595,170.2305794,#DFCBAA
Ambispora_leptoticha,NA,169.3694399,151.9912671,120.2836705,#A99878
Archaeospora_schenckii,NA,229.1777778,229.3711508,226.1095437,#E5E5E2
Archaeospora_trappei,NA,186.9918333,184.4313333,177.2965556,#BBB8B1
Cetraspora_pellucida,immature spores,249.1630519,219.6412753,122.3188086,#F9DC7A
Cetraspora_pellucida,mature spores,252.7756427,240.3681221,160.598614,#FDF0A1
Claroideoglomus_claroideum,NA,222.7857179,217.4766739,178.1579004,#DFD9B2
Claroideoglomus_etunicatum,immature spores,230.2371528,215.106746,194.606498,#E6D7C3
Claroideoglomus_etunicatum,mature spores,214.8790079,131.2473413,25.7472619,#D7831A
Claroideoglomus_lamellosum,NA,205.4747698,189.5388036,136.1994851,#CDBE88
Claroideoglomus_luteum,NA,216.3048222,194.0245765,126.7065767,#D8C27F
Claroideoglomus_luteum,NA,223.1648296,223.723778,182.5753456,#DFE0B7
Dentiscutata_erythropa,NA,129.8606248,61.00221808,35.52373191,#823D24
Dentiscutata_erythropa,NA,108.241347,22.73573732,5.866451049,#6C1706
Dentiscutata_heterogama,NA,177.5685758,115.8877497,30.34551753,#B2741E
Dentiscutata_nigra,NA,56.82611783,43.02123244,37.50215359,#392B26
Dentiscutata_rubra,NA,144.2065248,47.44938432,14.27840548,#902F0E
Diversispora_eburnea,large spores,236.3143155,238.5514569,215.9417985,#ECEFD8
Diversispora_eburnea,small spores,205.8006349,213.1724206,205.8575,#CED5CE
Diversispora_epigaea,NA,213.5672928,192.191664,148.3322628,#D6C094
Diversispora_globifera,NA,160.1279536,78.57245086,28.65195911,#A04F1D
Diversispora_globifera,NA,222.6052472,166.0075054,69.1947399,#DFA645
Diversispora_tortuosa,NA,218.6751226,160.2392045,68.32544886,#DBA044
Diversispora_trimurales,NA,218.3776438,209.3572012,190.6695388,#DAD1BF
Entrophospora_infrequens,NA,172.5320205,127.06055,55.46775528,#AD7F37
Funneliformis_caledonius,immature spores,242.9994243,224.5960239,176.7345401,#F3E1B1
Funneliformis_caledonius,mature spores,190.0554257,160.9525339,77.57051364,#BEA14E
Funneliformis_coronatum,NA,197.8124595,125.7213121,45.75952267,#C67E2E
Funneliformis_coronatum,NA,223.6548906,175.3009124,80.04552734,#E0AF50
Funneliformis_geosporum,NA,194.7008581,163.21312,86.72802579,#C3A357
Funneliformis_geosporum,NA,208.8740446,177.3108244,66.98990079,#D1B143
Funneliformis_mosseae,immature spores,240.2822049,230.6020065,206.2735317,#F0E7CE
Funneliformis_mosseae,mature spores,183.1838053,130.2306379,51.90793591,#B78234
Funneliformis_verruculosum,NA,220.1574471,165.0275336,29.44520231,#DCA51D
Gigaspora_albida,NA,224.5338611,207.4741695,135.130874,#E1CF87
Gigaspora_decipiens,fresh spores,232.591057,206.5945325,155.7453118,#E9CF9C
Gigaspora_decipiens,old spores,186.4579798,135.4905891,88.32728432,#BA8758
Gigaspora_gigantea,immature spores,231.6402807,151.5673506,17.41661371,#E89811
Gigaspora_gigantea,mature spores,223.3669587,214.9017309,53.78707564,#DFD736
Gigaspora_margarita,NA,200.9840848,158.8187966,108.0489812,#C99F6C
Gigaspora_rosea,immature spores,245.2390679,190.008358,104.5970505,#F5BE69
Gigaspora_rosea,mature spores,241.7463126,202.1439764,165.7855881,#F2CAA6
Glomus_ambisporum,NA,127.6921701,69.19322449,39.01588095,#804527
Glomus_clavisporum,NA,83.33025794,52.6922619,45.56250992,#53352E
Paraglomus_brasilianum,NA,189.4724405,196.068869,189.6681548,#BDC4BE
Paraglomus_occultum,NA,206.9736508,200.9867262,200.3847024,#CFC9C8
Racocetra_castanea,NA,205.1847786,159.1431658,67.53385462,#CD9F44
Racocetra_coralloidea,NA,95.49126984,37.58815079,31.14905556,#5F261F
Racocetra_coralloidea,NA,27.61471816,6.123966991,3.824077742,#1C0604
Racocetra_fulgida,NA,191.1526529,185.0235156,171.9893335,#BFB9AC
Racocetra_gregaria,NA,45.64051798,16.80712362,16.51699705,#2E1111
Racocetra_persica,NA,177.0124256,119.1602582,59.36651542,#B1773B
Racocetra_verrucosa,NA,204.7856987,173.8485577,119.580308,#CDAE78
Racocetra_verrucosa,NA,236.5808073,203.5098154,139.6939659,#EDCC8C
Rhizophagus_clarus,NA,227.3409437,202.9018143,160.2653938,#E3CBA0
Rhizophagus_diaphanus,NA,207.5958947,212.1801605,211.6452597,#D0D4D4
Rhizophagus_diaphanus,NA,219.9460305,224.5380954,211.1798515,#DCE1D3
Rhizophagus_fasciculatus,NA,238.0514603,232.5738175,207.4579524,#EEE9CF
Rhizophagus_intraradices,NA,201.9109643,169.8304193,101.7334656,#CAAA66
Rhizophagus_intraradices,NA,211.2918367,207.7597124,202.3150356,#D3D0CA
Rhizophagus_manihotis,NA,227.6356753,198.4830059,111.7637614,#E4C670
Sclerocystis_sinuosum,NA,115.8369933,48.46339229,24.062879,#743018
Scutellospora_calospora,NA,228.9612273,224.6704521,195.2248172,#E5E1C3
Scutellospora_calospora,NA,191.3372817,189.0401389,123.936131,#BFBD7C
Scutellospora_cerradensis,NA,226.8074813,218.5732959,166.8536063,#E3DBA7
Scutellospora_dipurpurascens,NA,188.9596086,181.4178662,150.2156313,#BDB596
Scutellospora_scutata,NA,214.005884,207.2761954,179.7843629,#D6CFB4
Septoglomus_constrictum,NA,4.411093074,6.837911857,12.26329606,#04070C
Septoglomus_constrictum,NA,66.2118424,29.69808957,18.4512585,#421E12
Septoglomus_deserticola,NA,67.26214598,48.50845551,37.6320784,#433126
Septoglomus_deserticola,NA,125.3500111,83.1342111,44.0453384,#7D532C
Septoglomus_viscosum,NA,224.3710391,214.2103367,170.9198299,#E0D6AB